"企业代号","企业名称","信誉评级","是否违约","总支出","进项发票数量","进项发票金额变异系数","总营收","销项发票数量","负值销项发票比例","销项发票金额变异系数","进项作废发票比例","销项作废发票比例","毛利润","运营规模","利润率","资金周转率","是否违约数值","信誉评级数值"
"E1","***电器销售有限公司","A","否",7786097640.39,3249,1.84563828028526,4999150122.12,7886,0.028911995942176,0.701705927989651,0.0557977332170881,0.0276202219482121,-2786947518.27,12785247762.51,-0.557484262362606,0.642061062294821,0,3
"E2","***技术有限责任公司","A","否",164563441.82,31435,4.79486062616581,666655486.08,11665,0.0306900985855122,0.737426554072623,0.0224219430277398,0.0820020461163138,502092044.26,831218927.9,0.753150697389968,4.05105458847409,0,3
"E3","***电子(中国)有限公司***分公司","C","否",54859923.26,4367,4.55719182200211,1127455712.36,23688,0.186001350894968,2.3823093577189,0.0425345319008989,0.0159930212271009,1072595789.1,1182315635.62,0.951341837503163,20.5515364470453,0,1
"E4","***发展有限责任公司","C","否",263411652.42,521,3.86529174411992,2163364627.15,2041,0.00440960313571779,0.227316291108479,0.0663082437275986,0.0851636037651277,1899952974.73,2426776279.57,0.878239826465585,8.21286608726252,0,1
"E5","***供应链管理有限公司","B","否",229561996.33,2084,3.55195734755869,235530147.19,1005,0.00995024875621891,1.3499679070687,0.0391885661595205,0.0518867924528302,5968150.85999998,465092143.52,0.0253392227330692,1.02599799163369,0,2
"E6","***装饰设计工程有限公司","A","否",326939260.48,10814,3.03163223663717,400113425.32,913,0.0251916757940854,0.869623010046351,0.0461321337214431,0.13212927756654,73174164.84,727052685.8,0.182883553036185,1.22381577768472,0,3
"E7","***家电有限公司***分公司","A","否",78273474.06,12643,3.79305743375306,1054333371.88,8032,0.236429282868526,1.62302297198555,0.0346644269680079,0.0143575898883299,976059897.82,1132606845.94,0.925760223333888,13.4698681071931,0,3
"E8","***科学研究院有限公司","A","否",171762629.3,21777,8.11541328785957,411376253.67,8359,0.0293097260437851,0.807848473641681,0.0336794462193823,0.113103448275862,239613624.37,583138882.97,0.582468293277362,2.39502769226647,0,3
"E9","***生活用品服务有限公司***分公司","A","否",26569889.21,4199,3.78302594462917,390731046.55,5760,0.0211805555555556,0.542131595686304,0.0218961099464244,0.0247206230951575,364161157.34,417300935.76,0.931999544329529,14.7057838089495,0,3
"E10","***建筑劳务有限公司","B","否",5771271.36,3860,2.66374099158018,353606289.58,516,0.00387596899224806,0.509616081955081,0.0578472052721504,0.0915492957746479,347835018.22,359377560.94,0.983678821530989,61.2700854842493,0,2
"E11","***建设工程有限公司","C","否",145189244.9,2715,1.75249108783499,162747045.13,1051,0.000951474785918173,1.38876418512524,0.0426657263751763,0.0590868397493286,17557800.23,307936290.03,0.107883987792068,1.12093044661878,0,1
"E12","***建筑劳务有限公司","B","否",95980112.96,1757,4.40599383738954,245003020.51,263,0.00380228136882129,0.229907980685983,0.0217149220489978,0.0771929824561404,149022907.55,340983133.47,0.608249266640847,2.55264359411731,0,2
"E13","***汽车贸易有限公司","A","否",104471922.77,13255,4.15925292069517,252910519.78,6808,0.0107226792009401,3.33020309718611,0.0158883361793749,0.149531542785759,148438597.01,357382442.55,0.586921402633321,2.42084679858716,0,3
"E14","个体经营E14","C","否",130138254.88,6527,3.6277710103997,246959854.71,3097,0.0135615111398127,2.01318724418786,0.0777165465592765,0.0716426858513189,116821599.83,377098109.59,0.473038826359779,1.89767301657549,0,1
"E15","***劳务有限公司","A","否",4803944.44,92,0.934291574160542,219600852.16,2260,0,0.143077915319598,0,0.0630182421227197,214796907.72,224404796.6,0.978124199461212,45.712612812816,0,3
"E16","***建筑劳务有限公司","A","否",333748.42,289,2.11397348070539,213556685.94,390,0,0.564598589168606,0.00344827586206897,0.111617312072893,213222937.52,213890434.36,0.998437190488647,639.873249257629,0,3
"E17","***消防工程有限公司","A","否",149657140.57,7143,2.30758354490894,174904362.39,561,0.0231729055258467,1.07978348290428,0.0561575052854123,0.170118343195266,25247221.82,324561502.96,0.144348725640725,1.16870041565568,0,3
"E18","***消防工程有限责任公司","A","否",141048335.83,5455,2.72468540121787,199796470.97,345,0.00579710144927536,0.565102510248971,0.0537727666955768,0.094488188976378,58748135.14,340844806.8,0.294039903982194,1.41651065781313,0,3
"E19","***科技有限公司","A","否",212471777.3,1484,1.67993767741536,218754375.16,2821,0.0230414746543779,0.440198562473894,0.026246719160105,0.0897063568893191,6282597.85999998,431226152.46,0.0287198729415346,1.02956909355132,0,3
"E20","***贸易有限公司","B","否",204442529.69,1041,1.90602961164782,222122058.8,737,0,1.21650079968632,0.0787610619469027,0.0514800514800515,17679529.11,426564588.49,0.0795937567187722,1.08647676751412,0,2
"E21","***建设工程有限公司","B","否",125347677.56,2146,1.73974749937218,138701427.37,1428,0.0322128851540616,0.136758617845034,0.0717993079584775,0.0259208731241473,13353749.81,264049104.93,0.0962769458340002,1.10653368351087,0,2
"E22","***物流有限公司","A","否",76775548.5,1520,1.74047066874468,124192960.82,1366,0.00878477306002928,0.268886125614788,0.0559006211180124,0.125480153649168,47417412.32,200968509.32,0.381804347097617,1.61761085718587,0,3
